company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR,Pos-Work Life Balance,Pos-Company Culture,Pos-Appraisal,Pos-Learning,Pos-Work Satisfaction,Pos-Salary & Benefits,Pos-Promotions,Pos-Job Security,Pos-Skill Development,Con-Work Life Balance,Con-Company Culture,Con-Appraisal,Con-Learning,Con-Work Satisfaction,Con-Salary & Benefits,Con-Promotions,Con-Job Security,Con-Skill Development
Waaree Energies,Power ,3.9,400 Reviews,35.0,No-Data,No-Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hindusthan National Glass,Packaging ,3.8,400 Reviews,78.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
JSW Paints,Chemicals ,4.0,400 Reviews,8.0,Job Security,No-Data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Karvy Data Management,No-Data,3.2,400 Reviews,,"Salary & Benefits, Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
CRYSTAL CROP PROTECTION,Agro Chemicals ,3.9,399 Reviews,44.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jindal Poly Films,Packaging ,3.7,399 Reviews,50.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Roop Polymers,Auto Components ,4.1,399 Reviews,51.0,"Job Security, Work Life Balance, Skill Development / Learning",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
URC Construction,Engineering & Construction ,3.6,399 Reviews,68.0,"Promotions / Appraisal, Company Culture, Salary & Benefits",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
TriGeo Technologies,IT Services & Consulting ,3.3,399 Reviews,28.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Vindhya Telelinks,Hardware & Networking ,4.1,399 Reviews,41.0,"Job Security, Salary & Benefits",No-Data,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Metro Group of Hospitals,Healthcare ,3.8,399 Reviews,27.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Netmeds.com,Internet ,3.6,399 Reviews,9.0,"Promotions / Appraisal, Job Security, Company Culture",No-Data,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Adarsh Credit Co-Operative Society,Investment Banking / Venture Capital / Private Equity ,4.0,399 Reviews,25.0,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",No-Data,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Bajaj Capital Insurance,Insurance ,3.7,399 Reviews,20.0,"Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Castrol,Petrochemicals ,4.3,398 Reviews,125.0,"Salary & Benefits, Company Culture, Work Life Balance",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cyfuture,IT Services & Consulting ,3.3,398 Reviews,23.0,"Promotions / Appraisal, Salary & Benefits, Job Security",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Dr. Batras' Positive Health Clinic,Healthcare ,3.5,397 Reviews,42.0,"Promotions / Appraisal, Work Life Balance, Job Security",No-Data,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TSYS|Total System Services,Financial Services ,4.4,397 Reviews,40.0,"Work Life Balance, Job Security, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IDBI Intech Limited,IT Services & Consulting ,3.7,397 Reviews,24.0,Job Security,"Promotions / Appraisal, Salary & Benefits",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
N.C.L. Industries,Building Material ,3.9,397 Reviews,44.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Efs Facilities Services,Facility Management Services ,3.8,397 Reviews,18.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Toothsi,Internet ,2.8,397 Reviews,6.0,"Job Security, Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Satyam Auto Components,Auto Components ,4.0,396 Reviews,23.0,Job Security,Promotions / Appraisal,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
HBL Global,NBFC ,4.1,396 Reviews,24.0,"Skill Development / Learning, Job Security, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sterling Holiday Resort,Hospitality ,4.0,396 Reviews,38.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Novotel Hotels,Hospitality ,4.4,396 Reviews,57.0,"Job Security, Skill Development / Learning, Company Culture",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Glenmark Life Sciences,Pharma ,3.8,396 Reviews,47.0,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
Axtria,Software Product ,3.4,396 Reviews,14.0,"Work Life Balance, Work Satisfaction, Company Culture",No-Data,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrma Technology,Electronics Manufacturing ,4.2,395 Reviews,20.0,"Skill Development / Learning, Job Security, Work Life Balance",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Micron Electricals,Engineering & Construction ,4.0,395 Reviews,48.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dineshchandra R Agarwal Infracon,Engineering & Construction ,4.2,395 Reviews,52.0,"Work Satisfaction, Salary & Benefits",No-Data,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Solara Active Pharma Sciences,Pharma ,3.8,395 Reviews,6.0,"Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trigent Software,IT Services & Consulting ,3.8,395 Reviews,29.0,"Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fena,FMCG ,4.2,394 Reviews,48.0,"Job Security, Salary & Benefits, Company Culture",No-Data,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
BLK Super Speciality Hospital,Healthcare ,4.1,394 Reviews,65.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Electronica Finance,NBFC ,3.9,394 Reviews,34.0,Salary & Benefits,No-Data,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Deloitte Digital,IT Services & Consulting ,3.9,394 Reviews,7.0,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Carrier,Consumer Electronics & Appliances ,3.9,393 Reviews,109.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Indecomm Global Services,IT Services & Consulting ,3.7,393 Reviews,21.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
