company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR,Pos-Work Life Balance,Pos-Company Culture,Pos-Appraisal,Pos-Learning,Pos-Work Satisfaction,Pos-Salary & Benefits,Pos-Promotions,Pos-Job Security,Pos-Skill Development,Con-Work Life Balance,Con-Company Culture,Con-Appraisal,Con-Learning,Con-Work Satisfaction,Con-Salary & Benefits,Con-Promotions,Con-Job Security,Con-Skill Development
Focus Softnet,Software Product ,3.3,121 Reviews,32.0,"Salary & Benefits, Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Auto Ignition,Auto Components ,3.9,120 Reviews,53.0,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Aspiring Minds,Software Product ,3.9,120 Reviews,16.0,"Job Security, Promotions / Appraisal, Work Life Balance",No-Data,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ANANDA GROUP,Food Processing ,3.9,120 Reviews,94.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exel Rubber,Petrochemicals ,4.0,120 Reviews,34.0,"Work Life Balance, Job Security",No-Data,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gowtham Model School,Education & Training ,4.0,120 Reviews,21.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ncr Eduservices,Education & Training ,3.4,120 Reviews,12.0,"Promotions / Appraisal, Salary & Benefits, Job Security",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Tcil,Telecom ,4.1,120 Reviews,46.0,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Trinity Mobility,IT Services & Consulting ,3.0,120 Reviews,13.0,"Work Life Balance, Company Culture, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brickwork Ratings,Financial Services ,3.8,120 Reviews,17.0,Work Life Balance,Promotions / Appraisal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Forbes Technosys,IT Services & Consulting ,3.9,120 Reviews,31.0,"Job Security, Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Strategic Learning Solutions,BPO ,4.4,120 Reviews,28.0,"Company Culture, Work Life Balance, Skill Development / Learning",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IndiaLends,Financial Services ,3.7,120 Reviews,10.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
iB Hubs,IT Services & Consulting ,4.2,120 Reviews,8.0,"Skill Development / Learning, Promotions / Appraisal, Company Culture",No-Data,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GD Goenka University,Education & Training ,3.5,120 Reviews,11.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Maintec Technologies,IT Services & Consulting ,3.3,120 Reviews,26.0,"Job Security, Promotions / Appraisal, Skill Development / Learning",No-Data,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Toll Group,Logistics ,4.2,120 Reviews,27.0,"Work Life Balance, Work Satisfaction, Skill Development / Learning",No-Data,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tata Realty and Infrastructure,Real Estate ,4.0,120 Reviews,17.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Chemtrols Industries,Industrial Automation ,4.1,120 Reviews,49.0,"Work Satisfaction, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0
Replicon,Software Product ,3.7,120 Reviews,28.0,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",No-Data,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Gowtham Model School,Education & Training ,4.0,120 Reviews,21.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anytime Fitness,Fitness & Wellness ,3.8,120 Reviews,23.0,"Job Security, Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Rane Group,Auto Components ,4.0,120 Reviews,,"Skill Development / Learning, Job Security",Salary & Benefits,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Technocraft Industries,Industrial Machinery ,3.8,120 Reviews,52.0,Skill Development / Learning,"Promotions / Appraisal, Company Culture",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
Fedora Solutions,IT Services & Consulting ,3.4,120 Reviews,20.0,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",No-Data,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Albert David,Pharma ,4.2,120 Reviews,86.0,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Silicon Valley Bank,Investment Banking / Venture Capital / Private Equity ,4.6,120 Reviews,41.0,"Company Culture, Salary & Benefits, Skill Development / Learning",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ishan Technologies,Internet ,3.9,120 Reviews,24.0,No-Data,No-Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndiaLends,Financial Services ,3.7,120 Reviews,10.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Apothecon Pharmaceuticals,Pharma ,4.4,120 Reviews,17.0,"Job Security, Work Life Balance, Salary & Benefits",No-Data,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Vipul Motors,Automobile ,4.1,120 Reviews,37.0,"Work Life Balance, Company Culture, Job Security",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Government Polytechnic Nagpur,Education & Training ,3.9,120 Reviews,110.0,"Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
iB Hubs,IT Services & Consulting ,4.2,120 Reviews,8.0,"Skill Development / Learning, Promotions / Appraisal, Company Culture",No-Data,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Auto Ignition,Auto Components ,3.9,120 Reviews,53.0,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
ANANDA GROUP,Food Processing ,3.9,120 Reviews,94.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sahara India Financial Corporation,Financial Services ,3.7,120 Reviews,37.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Dr. Willmar Schwabe India,Healthcare ,4.2,120 Reviews,158.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Zeco Aircon,Industrial Machinery ,3.9,120 Reviews,35.0,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",No-Data,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pasco Automobiles,Automobile ,4.5,120 Reviews,39.0,"Company Culture, Skill Development / Learning, Salary & Benefits",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Government Polytechnic Nagpur,Education & Training ,3.9,120 Reviews,110.0,"Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
Smart Energy Water,IT Services & Consulting ,3.6,120 Reviews,15.0,"Company Culture, Promotions / Appraisal, Skill Development / Learning",No-Data,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Eastern Coalfields,Metals & Mining ,4.0,120 Reviews,49.0,"Job Security, Work Life Balance, Skill Development / Learning",No-Data,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sahara India Financial Corporation,Financial Services ,3.7,120 Reviews,37.0,"Promotions / Appraisal, Job Security, Work Satisfaction",No-Data,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Indwell,Engineering & Construction ,3.9,120 Reviews,47.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Promea Therapeutics,Medical Equipment ,4.4,120 Reviews,7.0,"Skill Development / Learning, Work Life Balance, Work Satisfaction",No-Data,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Entero Healthcare Solutions,Pharma ,4.2,120 Reviews,6.0,"Work Life Balance, Company Culture, Salary & Benefits",No-Data,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Soch Apparels,Fashion & Textile ,4.2,120 Reviews,19.0,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Dr. Willmar Schwabe India,Healthcare ,4.2,120 Reviews,158.0,"Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
BigStep Technologies,IT Services & Consulting ,4.3,120 Reviews,16.0,"Company Culture, Job Security, Promotions / Appraisal",No-Data,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A&A Business Consulting,Management Consulting ,4.1,120 Reviews,15.0,"Skill Development / Learning, Work Life Balance, Company Culture",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Risebird Talent Solutions,Recruitment ,4.5,120 Reviews,,"Skill Development / Learning, Salary & Benefits, Company Culture",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Osource Global,Recruitment ,3.6,120 Reviews,,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
QR Crypher,Software Product ,4.3,120 Reviews,5.0,"Job Security, Work Life Balance, Work Satisfaction",No-Data,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Annova Solutions,No-Data,3.9,120 Reviews,,"Skill Development / Learning, Work Satisfaction",No-Data,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
JSW Bhushan Power & Steel,No-Data,4.1,120 Reviews,,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Nureca Limited,Medical Equipment ,4.5,120 Reviews,8.0,"Company Culture, Work Life Balance, Work Satisfaction",No-Data,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aster Medcity,Healthcare ,4.5,120 Reviews,9.0,"Company Culture, Skill Development / Learning, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Rajapushpa Properties,Real Estate ,4.0,119 Reviews,18.0,Work Life Balance,No-Data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVS - SUNDARAM BRAKE LININGS,Auto Components ,3.6,119 Reviews,48.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0
DE Shaw,Software Product ,3.7,119 Reviews,28.0,"Salary & Benefits, Company Culture, Job Security",No-Data,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Arya Collateral Warehousing Services,Agriculture ,4.3,119 Reviews,42.0,"Company Culture, Work Satisfaction, Skill Development / Learning",No-Data,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Multi Organics,Chemicals ,3.3,119 Reviews,48.0,"Company Culture, Work Life Balance, Work Satisfaction",No-Data,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hoonartek,IT Services & Consulting ,3.8,119 Reviews,14.0,Promotions / Appraisal,No-Data,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pacific Global,FinTech ,3.8,119 Reviews,14.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
Segula Technologies,Industrial Machinery ,3.8,119 Reviews,18.0,"Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Aeon Credit Service,Financial Services ,3.6,119 Reviews,13.0,Job Security,No-Data,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Graphite India,Electrical Equipment ,3.7,119 Reviews,62.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
Reserve Bank of India,Banking ,4.6,119 Reviews,89.0,"Work Life Balance, Salary & Benefits, Job Security",No-Data,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Amrapali Group,Real Estate ,3.7,119 Reviews,21.0,"Job Security, Company Culture",No-Data,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SAGE Publications,Media & Entertainment ,4.0,119 Reviews,59.0,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Furnace Fabrica India,Engineering & Construction ,3.4,119 Reviews,51.0,"Salary & Benefits, Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hindustan Platinum,Metals & Mining ,3.4,119 Reviews,63.0,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",No-Data,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Sunshine Hospitals,Healthcare ,3.9,119 Reviews,15.0,Work Life Balance,No-Data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zerodha,FinTech ,4.2,119 Reviews,14.0,"Skill Development / Learning, Company Culture, Work Satisfaction",No-Data,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Corbus,IT Services & Consulting ,3.9,119 Reviews,30.0,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
CBSE,Education & Training ,4.3,119 Reviews,,"Skill Development / Learning, Work Satisfaction, Work Life Balance",No-Data,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Lokmat Media,Printing & Publishing ,3.9,119 Reviews,53.0,"Job Security, Work Satisfaction",No-Data,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Arihant Publications,Printing & Publishing ,3.9,119 Reviews,27.0,"Promotions / Appraisal, Company Culture, Salary & Benefits",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NDTV,Broadcasting ,4.0,119 Reviews,35.0,"Salary & Benefits, Promotions / Appraisal",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ojas Innovative Technologies,IT Services & Consulting ,3.7,119 Reviews,13.0,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Job Security",0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
DGS Technical Services,Design ,3.3,119 Reviews,20.0,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
Kamdhenu,Building Material ,3.9,119 Reviews,29.0,"Work Life Balance, Job Security",No-Data,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Digital Nirvana Information Systems,Software Product ,3.6,119 Reviews,28.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Takata,Auto Components ,4.3,119 Reviews,63.0,"Company Culture, Job Security, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NDTV,Broadcasting ,4.0,119 Reviews,35.0,"Salary & Benefits, Promotions / Appraisal",No-Data,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Natural Remedies,Pharma ,3.7,119 Reviews,73.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Paushak,Chemicals ,3.7,119 Reviews,52.0,"Company Culture, Work Satisfaction, Promotions / Appraisal",No-Data,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pilot Industries,Metals & Mining ,3.3,119 Reviews,55.0,"Job Security, Work Life Balance, Company Culture",No-Data,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Junglee Games,IT Services & Consulting ,3.4,119 Reviews,12.0,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",No-Data,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ZestMoney,FinTech ,4.0,119 Reviews,9.0,"Work Life Balance, Company Culture","Job Security, Promotions / Appraisal",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Aapna Infotech,IT Services & Consulting ,4.5,119 Reviews,17.0,"Company Culture, Skill Development / Learning, Work Life Balance",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Graphite India,Electrical Equipment ,3.7,119 Reviews,62.0,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
Sunshine Hospitals,Healthcare ,3.9,119 Reviews,15.0,Work Life Balance,No-Data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajapushpa Properties,Real Estate ,4.0,119 Reviews,18.0,Work Life Balance,No-Data,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuantum Papers,Pulp & Paper ,4.4,119 Reviews,27.0,"Job Security, Work Life Balance, Salary & Benefits",No-Data,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
MAHLE Engine Components,Automobile ,3.9,119 Reviews,104.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Futures Group,Retail ,4.4,119 Reviews,16.0,"Work Life Balance, Skill Development / Learning, Company Culture",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hcl Foundation,Non-Profit ,4.1,119 Reviews,48.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
MGNREGA,Government ,3.5,119 Reviews,33.0,"Promotions / Appraisal, Job Security, Salary & Benefits",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Natural Remedies,Pharma ,3.7,119 Reviews,73.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mordor Intelligence,Analytics & KPO ,3.5,119 Reviews,11.0,"Skill Development / Learning, Work Satisfaction, Work Life Balance",No-Data,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
GKN Sinter Metals,Auto Components ,4.0,119 Reviews,122.0,"Job Security, Promotions / Appraisal",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sigma Supply Chain Solutions,Logistics ,4.0,119 Reviews,17.0,"Work Life Balance, Salary & Benefits, Work Satisfaction",No-Data,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Junglee Games,IT Services & Consulting ,3.4,119 Reviews,12.0,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",No-Data,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MAHLE Engine Components,Automobile ,3.9,119 Reviews,104.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Futures Group,Retail ,4.4,119 Reviews,16.0,"Work Life Balance, Skill Development / Learning, Company Culture",No-Data,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hcl Foundation,Non-Profit ,4.1,119 Reviews,48.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Avvashya Cci Logistics,Logistics ,3.9,119 Reviews,9.0,"Salary & Benefits, Company Culture",No-Data,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JRG Automotive india,Auto Components ,3.3,119 Reviews,17.0,"Job Security, Company Culture, Promotions / Appraisal",No-Data,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
iLabz Technology,Recruitment ,3.1,119 Reviews,10.0,"Job Security, Salary & Benefits, Promotions / Appraisal",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Entertainment Network India,Media & Entertainment ,3.5,119 Reviews,25.0,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Edujobs Academy,Education & Training ,3.8,119 Reviews,11.0,"Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tata Lockheed Martin Aerostructures,Defence & Aerospace ,3.9,119 Reviews,112.0,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Life Balance",0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0
Arunachala Logistics,Logistics ,3.8,119 Reviews,24.0,"Job Security, Work Life Balance",No-Data,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Motilal Oswal,Financial Services ,3.8,119 Reviews,37.0,Skill Development / Learning,Promotions / Appraisal,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
TPI Composites,Industrial Machinery ,4.2,119 Reviews,56.0,"Skill Development / Learning, Company Culture, Salary & Benefits",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Vogo Automotive,Internet ,3.9,119 Reviews,8.0,"Skill Development / Learning, Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
L&T Smart World & Communication,IT Services & Consulting ,4.3,119 Reviews,,"Job Security, Skill Development / Learning, Work Satisfaction",No-Data,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Accel IT Services,IT Services & Consulting ,3.7,119 Reviews,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",No-Data,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
MiM-Essay,Education & Training ,4.3,119 Reviews,,"Skill Development / Learning, Company Culture, Salary & Benefits",No-Data,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
KC Overseas Education,EdTech ,3.8,119 Reviews,26.0,Work Satisfaction,No-Data,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netoyed,No-Data,4.0,119 Reviews,,"Skill Development / Learning, Work Life Balance, Work Satisfaction",No-Data,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Accel IT Services,IT Services & Consulting ,3.7,119 Reviews,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",No-Data,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Theorem Incorporation,Marketing & Advertising ,3.6,119 Reviews,22.0,"Job Security, Promotions / Appraisal, Salary & Benefits",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Reliance Smart Point,No-Data,4.3,119 Reviews,,"Skill Development / Learning, Company Culture, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Kaefer,Engineering & Construction ,4.3,118 Reviews,106.0,"Work Life Balance, Work Satisfaction, Company Culture",No-Data,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N.K. Realtors,Real Estate ,4.4,118 Reviews,37.0,"Job Security, Company Culture, Skill Development / Learning",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Autocop India,Semiconductors ,3.6,118 Reviews,35.0,"Job Security, Salary & Benefits, Promotions / Appraisal",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NTL Electronics India,Electronics Manufacturing ,4.3,118 Reviews,31.0,"Company Culture, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Takenaka,Architecture & Interior Design ,4.1,118 Reviews,87.0,Salary & Benefits,Job Security,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Trafigura,Logistics ,3.6,118 Reviews,31.0,Salary & Benefits,"Job Security, Work Life Balance, Promotions / Appraisal",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
Careers360,Education & Training ,3.0,118 Reviews,16.0,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",No-Data,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SKS Ispat & Power,Industrial Machinery ,3.8,118 Reviews,24.0,"Salary & Benefits, Promotions / Appraisal, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Securitrans India,Financial Services ,4.0,118 Reviews,38.0,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Company Culture",1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Sikka Group,Real Estate ,3.1,118 Reviews,38.0,"Promotions / Appraisal, Salary & Benefits, Company Culture",No-Data,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Regus,Facility Management Services ,2.9,118 Reviews,35.0,"Promotions / Appraisal, Salary & Benefits, Job Security",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Anmol Biscuits,FMCG ,4.0,118 Reviews,30.0,"Skill Development / Learning, Company Culture, Job Security",No-Data,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Ravindra Bharathi Schools,Education & Training ,3.3,118 Reviews,30.0,"Salary & Benefits, Promotions / Appraisal, Job Security",No-Data,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Apis India,Food Processing ,4.0,118 Reviews,100.0,"Work Life Balance, Skill Development / Learning",No-Data,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nippon Toyota,Auto Components ,4.3,118 Reviews,25.0,"Company Culture, Job Security, Work Satisfaction",No-Data,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Technosoft Corporation,IT Services & Consulting ,3.3,118 Reviews,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",No-Data,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
OptiSol Business Solutions,IT Services & Consulting ,4.0,118 Reviews,18.0,"Skill Development / Learning, Company Culture, Work Satisfaction",No-Data,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
